frame,shoulder_x,shoulder_y,shoulder_visibility,hip_x,hip_y,hip_visibility,knee_x,knee_y,knee_visibility,ankle_x,ankle_y,ankle_visibility
76,0.3783188760280609,0.08509913831949234,0.999586284160614,0.3515603244304657,0.5475544333457947,0.9896686673164368,0.4102693498134613,0.912077009677887,0.6778530478477478,0.3861360549926758,1.2260204553604126,0.23304589092731476
77,0.3851321339607239,0.11580955237150192,0.9994931817054749,0.3582174479961395,0.5692488551139832,0.9863194227218628,0.413052499294281,0.9471179842948914,0.680821418762207,0.38813576102256775,1.2560954093933105,0.23892368376255035
78,0.39445677399635315,0.1481774002313614,0.9994058012962341,0.3816501498222351,0.5948131680488586,0.9829623699188232,0.42368414998054504,0.9802005290985107,0.6770630478858948,0.41602256894111633,1.26662015914917,0.233604297041893
79,0.41124245524406433,0.18742065131664276,0.9993318915367126,0.39834681153297424,0.6065577268600464,0.9792271852493286,0.4225967824459076,0.9822714328765869,0.6784088015556335,0.4218737483024597,1.2706300020217896,0.23201198875904083
80,0.42835748195648193,0.23017245531082153,0.9993419647216797,0.4124954640865326,0.60854572057724,0.9795935153961182,0.41954305768013,0.9787254333496094,0.6886773705482483,0.41560301184654236,1.2709938287734985,0.2387891411781311
81,0.44007396697998047,0.2506362497806549,0.9993682503700256,0.4178924262523651,0.605276346206665,0.9800980091094971,0.41924580931663513,0.971964418888092,0.7034021019935608,0.412605345249176,1.268869400024414,0.24962101876735687
82,0.45783504843711853,0.2802131772041321,0.9993945360183716,0.4334496855735779,0.6081317067146301,0.9813928008079529,0.4203186333179474,0.9709157347679138,0.7179918885231018,0.423891544342041,1.2667908668518066,0.2680164575576782
83,0.3782588839530945,0.2852632999420166,0.9993639588356018,0.39853614568710327,0.6048779487609863,0.9825935363769531,0.383731871843338,0.9424859285354614,0.7231178283691406,0.3438206911087036,1.17337965965271,0.26055413484573364
84,0.48523619771003723,0.3164851665496826,0.999311089515686,0.45020702481269836,0.6052435040473938,0.9839319586753845,0.4227515757083893,0.9350518584251404,0.7362487316131592,0.4120997190475464,1.1843976974487305,0.28300872445106506
85,0.5045159459114075,0.3233303129673004,0.9992985129356384,0.4602810740470886,0.604542076587677,0.9852381944656372,0.4353881776332855,0.9326664805412292,0.7517490983009338,0.44023677706718445,1.1980632543563843,0.31428125500679016
86,0.5077719688415527,0.31953421235084534,0.999243974685669,0.47059690952301025,0.6075958609580994,0.9864883422851562,0.4449121356010437,0.9326179623603821,0.762190043926239,0.4564373791217804,1.1965076923370361,0.3321276903152466
87,0.5078085064888,0.33119532465934753,0.9992216229438782,0.4742289185523987,0.6150575280189514,0.9874102473258972,0.45023611187934875,0.9328964948654175,0.7601650953292847,0.45867252349853516,1.2001593112945557,0.3245202898979187
88,0.4082461893558502,0.3543464243412018,0.9992725253105164,0.4313129484653473,0.6302871108055115,0.9882141351699829,0.4345739483833313,0.9322774410247803,0.7337402701377869,0.43236058950424194,1.1753650903701782,0.3114684522151947
89,0.4012138545513153,0.3671407699584961,0.999330997467041,0.41912373900413513,0.6434934735298157,0.9890044927597046,0.42884141206741333,0.9305949211120605,0.7167029976844788,0.4203350841999054,1.1572167873382568,0.2993013560771942
90,0.3979765772819519,0.39476144313812256,0.9993883967399597,0.415305495262146,0.6584653258323669,0.989801287651062,0.4228142201900482,0.9290192127227783,0.7221449017524719,0.4176422357559204,1.143692135810852,0.2966097295284271
91,0.46253135800361633,0.4196542203426361,0.9990718364715576,0.4511224329471588,0.670806348323822,0.9885219931602478,0.4612712562084198,0.9267138838768005,0.7064587473869324,0.46614009141921997,1.1115440130233765,0.2961153984069824
92,0.4795318841934204,0.4197956323623657,0.9991117715835571,0.4652034342288971,0.6805365681648254,0.989017128944397,0.47069671750068665,0.9214370250701904,0.7159786224365234,0.46444663405418396,1.122469186782837,0.3138032853603363
93,0.47914233803749084,0.4081440269947052,0.9991572499275208,0.4691435992717743,0.673018217086792,0.9893715381622314,0.4749964773654938,0.9069387316703796,0.7179210186004639,0.47199881076812744,1.1033154726028442,0.3183903992176056
94,0.4712614417076111,0.4465535581111908,0.9991672039031982,0.4652760326862335,0.6865991353988647,0.9890151023864746,0.467818945646286,0.8883159160614014,0.7338697910308838,0.4665653109550476,1.0755802392959595,0.33637890219688416
95,0.4744941294193268,0.477554589509964,0.9992116689682007,0.46548643708229065,0.6959519982337952,0.9892388582229614,0.47278326749801636,0.8896470665931702,0.7457773089408875,0.46503016352653503,1.0495502948760986,0.3662867248058319
96,0.4706868529319763,0.4812268316745758,0.9992004036903381,0.46361368894577026,0.7053791880607605,0.9881357550621033,0.4736784100532532,0.8921296000480652,0.7456585168838501,0.46327880024909973,1.0590115785598755,0.3625577986240387
