rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle,predicted_label,feedback
1,0,73,102,103,0.21153587102890015,146.26296140651763,126.17376827962968,7.519536322824791,12.5696568040631,upright,Lean torso forward slightly
2,102,132,161,60,0.1968408226966858,111.50916453560171,91.48243436051325,25.477462090365975,5.4507319152774585,good,Good Form!
3,161,191,219,59,0.21589559316635132,100.10298344154326,85.03144957390887,23.25500608567225,8.183472218037906,good,Good Form!
4,219,247,273,55,0.1408226191997528,121.80950251734238,110.21663634004443,18.279635643810934,6.686769466512999,shallow,Try going deeper (knee should be 90 degrees)
5,273,299,328,56,0.12320005893707275,125.80866796831764,113.22665842814666,20.044048729463185,7.46203918929217,shallow,Try going deeper (knee should be 90 degrees)
6,328,358,384,57,0.2039441168308258,102.05316914356746,106.49398080242649,0.2951868240668887,4.735998482925368,upright,Lean torso forward slightly
7,384,411,449,66,0.2057744860649109,104.07566388087626,107.77128404591751,0.8028694975268422,2.8927506675146333,upright,Lean torso forward slightly
