rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,30,96,97,0.3854495286941529,165.1225806089436,171.0442861488505,1.8399098462282666,4.081795693678544
2,96,162,200,105,0.10621830821037292,132.50208024413905,127.36084606218735,3.73214277547018,8.873376957421982
3,200,238,261,62,0.12127280235290527,120.43629624972952,102.69442756936822,10.367716682888357,7.3741519974729215
4,261,285,331,71,0.13047540187835693,111.3281652432449,100.76048299452663,10.663040339658295,0.09535809093961234
5,331,378,416,86,0.14128476381301885,105.71232996084063,84.00091996755935,21.02596358932672,0.6854464039544439
6,416,455,526,111,0.9921434819698334,111.82408040102348,101.77409713487405,10.879792298311969,0.8298090321622453
