Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.9148936170212766,0.9241760534000835,0.9148936170212766,0.9155607343627695
SVM,0.8936170212765957,0.9011524822695036,0.8936170212765957,0.8956566500552057
Logistic Regression,0.8085106382978723,0.8297872340425532,0.8085106382978723,0.8147597083767296
Baseline,0.44680851063829785,0.19963784517881394,0.44680851063829785,0.2759699624530663
