rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,58,83,84,0.14136463403701782,111.84874106937392,106.9268215910433,5.947963209905424,1.026043731574788
2,83,108,135,53,0.14635664224624634,110.78293756861972,105.46710099423525,5.170605298936408,0.14523127544603653
3,135,162,190,56,0.15038180351257324,110.31114575597584,102.93735230310068,7.79778180702607,0.42398835415070835
4,190,218,243,54,0.15608108043670654,100.94151139616496,95.1762532537117,7.353519625465225,1.5882614830120758
5,243,269,296,54,0.15695661306381226,105.34648359723107,96.07555865443055,10.730658086084219,1.4597331432837564
6,296,324,351,56,0.16303712129592896,104.9489448041149,93.29324058926319,11.208072445956446,0.4476317688952349
7,351,378,404,54,0.1551915407180786,107.4055516795108,97.81327505387132,11.17934333690954,1.5870667112702108
8,404,430,454,51,0.15695339441299438,107.56463242226329,100.12698327674909,5.331203076985446,2.106446068528953
9,454,479,530,77,0.75664715282619,101.06396497646583,100.12269464272873,4.031208085691077,3.0899377519539826
