rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,64,92,93,0.17509537935256958,105.87482313915363,83.93811686746619,22.4644660130445,0.5277597413572153
2,92,121,147,56,0.1709458827972412,100.9343625498969,78.54683158984886,25.745946889522514,3.3584159294744325
3,147,174,200,54,0.1663011908531189,105.7031806090699,81.86898128193896,25.166229388048606,1.3320300609178162
4,200,227,256,57,0.17807221412658691,100.41198775911948,74.62506242285376,25.69977834545071,0.08714699081522781
5,256,286,314,59,0.17886298894882202,96.05232478695815,74.69919905815723,24.599900267296732,3.246774538495771
6,314,342,375,62,0.16565251350402832,101.9306817731762,74.41183918329658,28.328941625987312,0.8100990361073457
7,375,408,440,66,0.17830336093902588,97.55804042461868,72.4458156968539,27.349155878334216,2.2369311505696032
8,440,473,502,63,0.17280393838882446,101.45074859922265,77.14876556573866,28.864714783467065,4.562731749983044
9,502,531,559,58,0.16980022192001343,104.64821700166036,76.9496961082721,26.93830397855527,0.760216914832796
10,559,588,634,76,0.2785201072692871,103.59303129034458,78.12026102619512,28.641156659367823,3.1683863952182776
