rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,96,121,122,0.11587214469909668,120.77307973344745,101.15299350196224,25.96072289503627,6.3406366635510665
2,121,147,172,52,0.11192262172698975,116.97841870330998,97.83792377456948,24.83462224505132,5.694127316310841
3,172,197,221,50,0.11216002702713013,117.43621556011745,101.14407393903095,21.786351030140025,5.494209409053553
4,221,245,272,52,0.11765289306640625,116.89749366990814,98.31690635558668,23.00653653111064,4.425949216789206
5,272,299,321,50,0.11586952209472656,116.04557487322586,99.34400538225844,22.146938878616595,5.445369387649151
6,321,343,367,47,0.11812686920166016,115.38727925249101,100.79525401230826,21.53491420719294,6.942888967010219
7,367,392,418,52,0.11742240190505981,115.72333494139038,97.67516126587802,21.715637401822704,3.667463726310274
8,418,445,468,51,0.12024062871932983,115.16105009496627,100.33905286019026,19.707269811071285,4.885272576295279
9,468,492,521,54,0.1312711238861084,114.18341196129093,98.4210472881827,20.99291401740146,5.23054934429328
