rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,56,76,77,0.12802645564079285,128.01819379631863,111.08885470420361,18.39732072356884,1.467981631453739
2,76,97,138,63,0.12891414761543274,123.79664688254508,106.89503013025207,19.536311982634516,2.6346952303414923
3,138,180,218,81,0.12690511345863342,127.3714453224383,107.62013450712011,22.10528636379118,2.3539755484730733
4,218,257,299,82,0.13280111551284796,123.30143386225151,104.50200771616852,20.526824496179415,1.727398350096479
5,299,342,389,91,0.13220053911209106,123.08917851144203,106.71979041620025,21.358824611011073,4.989436515769285
