rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,44,65,66,0.08732044696807861,126.66702693899819,112.74578786176838,23.14554826924828,9.224309192018467
2,65,86,107,43,0.11089116334915161,117.51179548385277,106.54479444737909,20.685215191671062,9.718214155197387
3,107,128,150,44,0.08591753244400024,127.5198401981964,116.60887104149698,19.526292505155624,8.6153233484562
4,150,172,194,45,0.09905964136123657,122.06391884814606,110.50559255607803,19.156679723394745,7.5983534313267
5,194,217,238,45,0.09720486402511597,122.60744928707093,112.13742461023729,17.837185599175143,7.367160922341554
6,238,260,281,44,0.09250533580780029,126.0892197049428,112.91177707418423,17.6571519804817,4.47970934972318
7,281,303,325,45,0.08638966083526611,130.15394568196658,119.62595027812293,15.525761822509281,4.9977664186656625
8,325,348,379,55,0.09168928861618042,125.87908232642344,112.46587351813159,19.85223601768945,6.439027209397608
