rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,45,73,74,0.15947085618972778,113.78566395409435,89.74753027916806,20.678136339314705,3.359997335611496
2,73,102,133,61,0.14391982555389404,113.68006717085999,86.35056760000232,23.739883335083505,3.5896162357740877
3,133,165,197,65,0.16398131847381592,107.20395562467203,80.94045479922244,22.41629893124764,3.847201894201959
4,197,229,260,64,0.1563873291015625,111.31265352583227,83.76518655015799,23.913975961974245,3.633491013700052
5,260,291,323,64,0.16453218460083008,107.08093306358873,80.02325590148628,24.7094523485122,2.348224813590207
6,323,356,388,66,0.1596052646636963,113.50931500182485,84.33631014278272,24.257491516727953,4.915513342314142
7,388,420,449,62,0.15677648782730103,111.589648787178,82.32059850191987,25.977049020201292,3.2920012650567685
8,449,479,509,61,0.16213595867156982,111.91813015463997,84.16920654009964,23.90439464366426,3.8445289708760413
9,509,539,571,63,0.1616716980934143,110.32550701093027,83.4778977578686,23.505872116672435,3.3417371363891846
10,571,603,653,83,0.31697762012481695,114.00922532970768,87.20460607115204,22.636387081997356,4.168232176558234
