rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,65,88,89,0.13566756248474127,117.51220883407207,97.5321011739814,25.91324023523643,5.933132575145777
2,88,112,135,48,0.12217742204666143,119.69206458631587,97.49718288287589,27.462365106455223,5.267483403015291
3,135,159,181,47,0.12712079286575323,116.44449011390974,98.25185236637347,24.873348491438463,6.680710743902182
4,181,204,229,49,0.1339390873908997,117.62381406405284,92.54996536671887,28.196086511166527,3.122237813832612
5,229,255,280,52,0.13727760314941406,116.15497078783193,94.38980501245554,25.126924408908422,3.3617586335320198
6,280,305,330,51,0.12712761759757996,121.07656022453259,95.30735911564854,26.515659867667154,0.7464587587829783
7,330,356,379,50,0.13300141692161566,117.84657417711622,98.46348600640579,22.019626252309195,2.636538081598701
8,379,402,426,48,0.13206934928894043,114.68942169700277,97.634004857878,23.283511775482594,6.228094936357849
9,426,451,475,50,0.13259434700012207,115.02467797045477,94.61595502224124,26.025454175862592,5.616731227649012
10,475,500,523,49,0.13085982203483582,114.66913651491177,96.57049462099111,24.46373738892177,6.3650954950011
11,523,546,575,53,0.12950628995895386,114.20620754401565,98.46066064825374,22.44631891509968,6.700772019337791
12,575,604,629,55,0.15380552411079407,108.13503095171613,95.84686779996089,20.52214344838984,8.233980296634599
