rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,45,66,67,0.10369628667831421,132.81699895567166,110.78093945356923,22.516431432448798,0.480371930345882
2,66,88,109,44,0.10366702079772949,130.594836230168,111.23912375622689,22.931807738243236,3.576095264302097
3,109,131,172,64,0.11558175086975098,115.97518570974641,104.55182607849088,17.779311838100824,6.355952206845274
4,172,214,235,64,0.12125235795974731,121.21777813238882,100.89238228057759,22.782074573401616,2.456678721590407
5,235,257,278,44,0.1013917326927185,127.34661132102924,107.15054377141615,23.807483412175344,3.6114158625622963
6,278,299,319,42,0.10951071977615356,127.67598026457969,104.96746016133417,24.242752945080383,1.5342328418346938
7,319,340,361,43,0.10614800453186035,125.2731459043924,109.74631665313935,20.87822801862896,5.351398767375969
8,361,383,403,43,0.10072022676467896,127.78374079322931,111.41546472193929,20.960179212596955,4.591903141306915
9,403,423,475,73,0.23234200477600098,134.23890407626914,113.45916544517878,23.880138084828133,3.100399453737822
