rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,51,83,84,0.15348196029663091,103.49373119173875,84.4198521054346,16.113609044533234,2.960270041770798
2,83,115,149,67,0.15795856714248657,102.39424681325548,84.84716182703576,14.344953858888061,3.202131127331654
3,149,183,216,68,0.1635232567787171,100.9018833680157,83.57331480623614,15.121167903411248,2.207400658368357
4,216,249,283,68,0.15523511171340948,107.7176208779034,87.52198359079945,16.048807094378077,4.146830192725929
5,283,317,350,68,0.16067200899124146,103.11646741428922,82.98106182018485,17.220985780887133,2.9144198132171937
6,350,384,418,69,0.16308584809303284,98.12113136243774,81.39448265760738,15.051375448667102,1.6752732561631092
7,418,452,486,69,0.16620483994483948,104.15173924406278,83.17478737024942,18.057963436748537,2.9189884370646553
8,486,520,553,68,0.16452181339263916,105.99292262583637,86.23756887561223,17.062612143733162,2.692741606491012
9,553,586,622,70,0.15960565209388738,104.81602125268331,83.65990035172668,17.276328971443235,3.8797919295134022
10,622,659,707,86,0.5166052095592022,100.46959475092997,77.73498319968944,18.335228669723847,4.399382881516715
