rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,39,62,63,0.11753192543983465,124.08380153019966,108.8952331009751,16.50703103609402,1.3184626068692182
2,62,85,107,46,0.11562550067901611,120.75965006025383,109.8494711327846,14.761463626058827,3.8512846985895806
3,107,130,153,47,0.12051424384117132,117.73848035594162,105.1814233251361,14.71409157163285,2.1570345408273113
4,153,176,199,47,0.12280958890914917,118.12738920359124,102.93549632375256,15.906753082523807,0.7148602026850881
5,199,223,247,49,0.10640430450439448,124.09740707845692,110.387724292726,17.064004304363863,3.3543215186329007
6,247,271,295,49,0.10584896802902222,125.78641200044429,110.44929555901169,16.86362795964044,1.5265115182077125
7,295,319,343,49,0.11418145895004278,119.99215097796669,108.52351933636034,16.388099675305085,4.919468033698678
8,343,368,390,48,0.11897122859954834,117.63564943237132,106.51717257330297,13.771579583765345,2.6531027246969643
9,390,413,436,47,0.10875445604324341,123.87581139021478,111.64806961878868,15.864125768028629,3.636383996602518
10,436,460,481,46,0.1055790483951568,129.83581974124982,114.81042959037354,16.208676594794753,1.1832864439184618
11,481,503,525,45,0.1033689677715301,123.86329348265699,113.79037729350173,14.088487171667026,4.015570982511889
12,525,548,593,69,0.3567196279764175,125.23544328975598,111.82157172206736,17.86261671475529,4.44874514706666
