rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,42,74,75,0.1546359658241272,107.49620909142062,84.72464505430725,26.19024558371973,3.418681546606308
2,74,107,141,68,0.1576383411884308,114.99273589392047,84.70659627075125,28.57853320482903,1.7076064183399637
3,141,175,208,68,0.16670957207679749,106.9154620597043,78.09327786076325,28.287917938531734,0.5342662604098791
4,208,241,274,67,0.16211572289466858,109.38276799725753,82.06631207539334,26.666398562310917,0.6500573595531023
5,274,308,340,67,0.1710091233253479,105.97524867075704,77.55966300459716,27.633092545707882,0.7824931204521306
6,340,373,405,66,0.16245290637016296,107.06853097801535,76.28322780267541,29.661770181480165,1.1235329938599818
7,405,437,470,66,0.17511102557182312,98.27011428260309,74.2186152639251,26.795877656760467,2.7443786380823667
8,470,503,535,66,0.16955226659774786,101.82521542127277,75.8618425573018,28.454490922156708,2.4911180581856343
9,535,567,598,64,0.1572464108467102,113.06791830697934,82.317440292265,29.088303273270725,1.6621747414436356
10,598,629,673,76,0.28762793540954595,100.62029513420075,77.9693576804904,24.048087188121144,1.3971497344109025
