rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,51,84,85,0.14286279678344732,109.12912570968433,99.52134276525994,9.330366846231499,0.27741609819312885
2,84,118,157,74,0.13381370902061462,118.80146842854852,110.18803884531717,6.366857343192805,2.246572240038546
3,157,197,235,79,0.14225205779075623,114.7778616235587,105.03077532951015,7.661070712624479,2.086015581423993
4,235,274,310,76,0.1427201628684998,117.443697233308,102.9974611289774,12.305121507127694,2.1411145972028294
5,310,347,382,73,0.14255684614181519,118.07306542219023,109.40169739369657,6.246664136807254,2.4247038916863346
6,382,418,452,71,0.14627090096473694,117.8971199010513,107.90204788084368,6.984744623037017,3.0103273971705846
7,452,486,523,72,0.12653410434722906,125.46275573116493,117.88871419520184,3.592352279564807,3.9816892563982265
8,523,561,591,69,0.12328711152076721,125.2966215891981,118.58115890592632,3.0118581990181212,3.703604484253674
9,591,622,665,75,0.32186537981033325,117.13320143148393,110.02552470379547,4.274124569941733,2.833552157746624
