rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,68,102,103,0.13850834965705872,118.69711981776102,114.08027436323094,2.6647131320096378,1.9521323225205265
2,102,136,166,65,0.14464440941810608,112.37115762134466,106.7310708535443,5.417994833105439,0.22209193469441857
3,166,197,226,61,0.12823328375816345,120.67802315482282,114.31210664103028,1.1842188395856112,5.181697674207044
4,226,255,285,60,0.13906854391098028,113.04908741778151,111.09349783886235,2.8305326622146367,0.8749430832955909
5,285,316,344,60,0.14449959993362432,110.64301080073719,111.81144203858844,0.2095036359204414,0.958927601930128
6,344,373,400,57,0.1356941163539887,111.93741762805877,110.21740163523707,3.2530561587013835,1.5330401658796973
7,400,427,457,58,0.13444513082504278,114.02366533337823,110.85455130288243,3.3020846070151606,0.13297057651752198
8,457,487,515,59,0.14226111769676208,109.32690940169046,103.09686850708707,7.47671762840443,1.2466767338010243
9,515,543,594,80,0.3405682146549225,115.28388208924872,110.87932655513508,2.877428593005476,1.5271269411080652
