rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,49,74,75,0.1090402603149414,124.59123817676257,113.84317133410583,14.251262346486953,3.503195503830142
2,74,100,127,54,0.11715036630630493,118.41562464153978,110.67572186594533,13.4197019320695,5.679799156475013
3,127,154,182,56,0.11293184757232666,121.77945774261858,113.54004040535239,12.938564453298568,4.69914711603235
4,182,211,238,57,0.12224870920181274,117.34003345406553,110.21884508846449,13.535484974063706,6.414296608462735
5,238,265,292,55,0.10197633504867554,128.2781089626105,117.79901219023321,14.244907646062842,3.765810873685581
6,292,319,346,55,0.10997951030731201,123.49800037297419,117.70749251653088,10.728773841986992,4.938265985543666
7,346,374,401,56,0.11011308431625366,123.47294479378667,117.47313540897743,12.13907177640749,6.1392623915982085
8,401,428,454,54,0.10166418552398682,125.6987170122722,112.51443095946165,15.28301028224331,2.098724229432719
9,454,481,507,54,0.09337902069091797,128.89067980516322,118.19218845391701,16.152865153271676,5.4543738020254295
10,507,533,578,72,0.2715997397899628,132.41285753621904,122.15588637176464,15.643953376006266,5.386982211551839
